Staff ID,Years of Experience,Absenteeism (Days),Satisfaction Score,Job_ID,Job_Location,Distance_km,Travel_Cost,Skill_Match,Job_Priority,Cost_per_Hour,Job_Hours,Labour_Cost,Total_Cost
S00000,17,3,1.56,J0000,Sheffield,115,51.75,0.58,2,26,5,130,181.75
S00001,9,2,2.78,J0001,Leeds,108,48.6,0.61,5,23,9,207,255.6
S00002,10,3,3.5,J0002,Nottingham,175,78.75,0.98,4,20,9,180,258.75
S00003,10,2,2.96,J0003,Liverpool,137,61.65,0.79,5,34,8,272,333.65
S00004,7,4,2.61,J0004,Sheffield,297,133.65,0.97,2,27,5,135,268.65
S00005,16,4,4.98,J0005,Glasgow,131,58.95,0.79,5,31,11,341,399.95
S00006,18,4,4.52,J0006,Birmingham,110,49.5,0.74,5,41,9,369,418.5
S00007,6,1,3.49,J0007,Sheffield,96,43.2,0.66,2,41,5,205,248.2
S00008,1,2,3.28,J0008,Nottingham,291,130.95,0.8,1,37,11,407,537.95
S00009,1,1,3.48,J0009,Liverpool,55,24.75,0.57,4,34,5,170,194.75
S00010,12,3,1.81,J0010,Leeds,33,14.85,0.95,2,36,7,252,266.85
S00011,2,1,2.58,J0011,Nottingham,218,98.1,0.91,3,33,9,297,395.1
S00012,4,3,1.16,J0012,Nottingham,271,121.95,0.66,1,33,11,363,484.95
S00013,17,3,2.9,J0013,Birmingham,261,117.45,0.98,3,37,9,333,450.45
S00014,4,3,3.17,J0014,Newcastle,105,47.25,0.91,1,39,7,273,320.25
S00015,11,1,1.91,J0015,Liverpool,114,51.3,0.83,4,37,8,296,347.3
S00016,4,2,4.86,J0016,Manchester,186,83.7,0.56,4,35,7,245,328.7
S00017,1,1,4.64,J0017,Nottingham,5,2.25,0.74,5,20,9,180,182.25
S00018,7,2,3.89,J0018,Newcastle,59,26.55,0.75,3,42,9,378,404.55
S00019,18,2,3.13,J0019,Manchester,153,68.85,0.62,1,30,10,300,368.85
S00020,9,3,4.48,J0020,Liverpool,141,63.45,0.54,4,34,11,374,437.45
