Staff ID,Job_ID,Job_Location,Job_Priority,Skill_Match,Satisfaction Score,Distance_km,Job_Hours,Total_Cost
S00607,J0607,Nottingham,5,0.73,3.4,41,4,110.45
S00799,J0799,Bristol,5,0.77,2.35,111,4,141.95
S00761,J0761,London,5,0.74,1.66,81,4,152.45
S00650,J0650,London,5,0.5,2.74,6,6,158.7
S00327,J0327,Nottingham,5,0.71,4.92,56,5,160.2
S00317,J0317,Nottingham,5,0.74,4.23,191,4,165.95
S00390,J0390,Bristol,5,0.77,2.43,60,7,167.0
S00736,J0736,Newcastle,5,0.77,4.66,118,4,169.1
S00859,J0859,Bristol,5,0.5,1.87,156,4,170.2
S00630,J0630,Birmingham,5,0.77,3.72,70,4,171.5
S00038,J0038,Manchester,5,0.81,2.55,29,6,175.05
S00569,J0569,Birmingham,5,0.61,1.23,110,4,177.5
S00017,J0017,Nottingham,5,0.74,4.64,5,9,182.25
S00555,J0555,Leeds,5,0.94,3.2,6,5,182.7
S00061,J0061,Newcastle,5,0.74,1.08,36,4,188.2
S00575,J0575,Sheffield,5,0.53,1.8,45,7,188.25
S00430,J0430,Leeds,5,0.58,4.76,117,4,188.65
S00285,J0285,Nottingham,5,0.87,2.46,20,6,189.0
S00366,J0366,Nottingham,5,0.7,1.91,33,7,189.85
S00165,J0165,London,5,0.58,4.16,38,6,191.1
S00720,J0720,Glasgow,5,0.69,1.74,182,4,197.9
S00460,J0460,Sheffield,5,0.67,3.65,231,5,203.95
S00571,J0571,Glasgow,5,0.87,4.78,13,5,205.85
S00758,J0758,Bristol,5,0.99,3.78,273,4,206.85
S00781,J0781,Nottingham,5,0.89,1.88,106,5,207.7
S00699,J0699,Birmingham,5,0.8,2.77,123,7,209.35
S00831,J0831,London,5,0.62,2.55,75,4,209.75
S00832,J0832,Liverpool,5,0.66,4.21,245,4,210.25
S00952,J0952,Nottingham,5,0.92,4.99,119,5,213.55
S00769,J0769,London,5,0.59,1.66,283,4,215.35
S00950,J0950,Sheffield,5,0.78,4.23,241,4,216.45
S00882,J0882,Manchester,5,0.62,4.03,82,7,218.9
S00302,J0302,London,5,0.74,4.56,276,5,224.2
S00663,J0663,Liverpool,5,0.7,1.99,233,4,224.85
S00906,J0906,Bristol,5,0.91,2.09,233,4,224.85
S00896,J0896,Bristol,5,0.77,2.7,23,5,225.35
S00032,J0032,Liverpool,5,0.69,4.45,21,6,225.45
S00695,J0695,Sheffield,5,0.7,3.52,24,9,226.8
S00776,J0776,Leeds,5,0.79,3.43,203,4,227.35
S00428,J0428,Leeds,5,0.68,1.28,50,6,232.5
S00853,J0853,Newcastle,5,0.54,2.48,212,6,233.4
S00917,J0917,Liverpool,5,0.86,2.06,164,8,233.8
S00282,J0282,Newcastle,5,0.84,3.18,8,7,234.6
S00600,J0600,Liverpool,5,0.7,4.87,225,4,237.25
